# Метеостанция Москва (центр, Балчуг), Россия, WMO_ID=27605, выборка с 01.04.2019 по 08.12.2019, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=27605&lang=ru
#
"Местное время в Москве (центр, Балчуг)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"25.10.2019 09:00";"10.8";"756.0";"767.4";"";"63";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"10.1";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"4.0";"Осадков нет";"12";"Поверхность почвы влажная.";"9.0";"";"";
"25.10.2019 06:00";"10.2";"755.8";"767.2";"";"71";"Ветер, дующий с западо-северо-запада";"1";"";"";"100%.";" ";"";"";"10.1";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"5.1";"Осадков нет";"12";"";"";"";"";
"25.10.2019 03:00";"10.2";"755.4";"766.7";"";"75";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"5.9";"";"";"";"";"";"";
"25.10.2019 00:00";"10.5";"755.2";"766.6";"";"72";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"5.6";"";"";"";"";"";"";
"24.10.2019 21:00";"10.9";"755.0";"766.3";"";"70";"Ветер, дующий с северо-запада";"2";"";"";"100%.";" ";"";"";"";"12.1";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"5.6";"Осадков нет";"12";"";"";"";"";
"24.10.2019 18:00";"11.3";"754.7";"766.0";"";"66";"Ветер, дующий с западо-северо-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"5.1";"Осадков нет";"12";"";"";"";"";
"24.10.2019 15:00";"11.4";"754.5";"765.7";"";"66";"Ветер, дующий с запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"5.2";"";"";"";"";"";"";
"24.10.2019 12:00";"11.3";"754.6";"765.9";"";"68";"Ветер, дующий с запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"5.5";"";"";"";"";"";"";
"24.10.2019 09:00";"11.1";"754.3";"765.6";"";"66";"Ветер, дующий с западо-северо-запада";"1";"";"";"100%.";" ";"";"";"10.8";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"4.9";"Осадков нет";"12";"Поверхность почвы влажная.";"9.0";"";"";
"24.10.2019 06:00";"11.0";"753.7";"765.1";"";"67";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"11.0";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"5.0";"Осадков нет";"12";"";"";"";"";
"24.10.2019 03:00";"11.4";"753.4";"764.7";"";"64";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"4.8";"";"";"";"";"";"";
"24.10.2019 00:00";"12.1";"752.8";"764.2";"";"63";"Ветер, дующий с западо-северо-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"5.1";"";"";"";"";"";"";
"23.10.2019 21:00";"12.6";"752.5";"763.6";"";"59";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"14.1";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"4.8";"Осадков нет";"12";"";"";"";"";
"23.10.2019 18:00";"13.0";"751.7";"763.0";"";"58";"Ветер, дующий с западо-северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"4.9";"0.3";"12";"";"";"";"";
"23.10.2019 15:00";"13.7";"750.8";"762.0";"";"56";"Ветер, дующий с западо-северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"5.0";"";"";"";"";"";"";
"23.10.2019 12:00";"13.7";"750.5";"761.7";"";"63";"Ветер, дующий с западо-северо-запада";"3";"";"";"100%.";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"100%.";"1000-1500";"";"";"10.0";"6.7";"";"";"";"";"";"";
"23.10.2019 09:00";"12.7";"750.1";"761.3";"";"76";"Ветер, дующий с запада";"2";"";"";"40%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"9.5";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"40%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"8.6";"0.3";"12";"Поверхность почвы влажная.";"8.0";"";"";
"23.10.2019 06:00";"13.0";"749.9";"761.1";"";"84";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"9.1";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"10.3";"Осадков нет";"12";"";"";"";"";
"23.10.2019 03:00";"12.9";"750.7";"761.8";"";"83";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"10.1";"";"";"";"";"";"";
"23.10.2019 00:00";"12.0";"751.6";"762.7";"";"81";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"8.8";"";"";"";"";"";"";
"22.10.2019 21:00";"9.5";"753.5";"764.9";"";"79";"Ветер, дующий с запада";"1";"";"";"70 – 80%.";" ";"";"";"";"11.0";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"6.0";"Осадков нет";"12";"";"";"";"";
"22.10.2019 18:00";"9.2";"755.2";"766.6";"";"76";"Ветер, дующий с запада";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"5.1";"Осадков нет";"12";"";"";"";"";
"22.10.2019 15:00";"10.3";"756.0";"767.4";"";"68";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"4.6";"";"";"";"";"";"";
"22.10.2019 12:00";"10.8";"756.6";"767.9";"";"70";"Ветер, дующий с запада";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"5.4";"";"";"";"";"";"";
"22.10.2019 09:00";"9.2";"756.3";"767.7";"";"78";"Ветер, дующий с запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"8.7";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"5.5";"Осадков нет";"12";"Поверхность почвы влажная.";"7.0";"";"";
"22.10.2019 06:00";"8.9";"755.6";"767.0";"";"79";"Ветер, дующий с западо-северо-запада";"1";"";"";"100%.";" ";"";"";"8.9";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"5.5";"5.0";"12";"";"";"";"";
"22.10.2019 03:00";"9.4";"755.0";"766.4";"";"83";"Ветер, дующий с западо-северо-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"6.7";"";"";"";"";"";"";
"22.10.2019 00:00";"10.5";"754.2";"765.6";"";"83";"Ветер, дующий с северо-запада";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"7.7";"";"";"";"";"";"";
"21.10.2019 21:00";"11.3";"753.4";"764.6";"";"85";"Ветер, дующий с западо-северо-запада";"2";"";"";"60%.";"Дождь (незамерзающий) неливневый. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"18.1";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"8.9";"5.0";"12";"";"";"";"";
"21.10.2019 18:00";"16.5";"752.0";"763.0";"";"67";"Ветер, дующий с западо-северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"10.3";"Осадков нет";"12";"";"";"";"";
"21.10.2019 15:00";"18.1";"751.2";"762.2";"";"57";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"1000-1500";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"10.0";"9.5";"";"";"";"";"";"";
"21.10.2019 12:00";"16.4";"751.7";"762.7";"";"59";"Ветер, дующий с западо-юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"8.4";"";"";"";"";"";"";
"21.10.2019 09:00";"14.2";"752.4";"763.6";"";"66";"Ветер, дующий с запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"13.1";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"7.8";"Осадков нет";"12";"Поверхность почвы влажная.";"8.0";"";"";
"21.10.2019 06:00";"13.7";"753.0";"764.2";"";"70";"Штиль, безветрие";"0";"";"";"60%.";" ";"";"";"13.1";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"8.2";"Осадков нет";"12";"";"";"";"";
"21.10.2019 03:00";"14.0";"753.6";"764.8";"";"68";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"8.2";"";"";"";"";"";"";
"21.10.2019 00:00";"14.7";"754.2";"765.4";"";"66";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"8.3";"";"";"";"";"";"";
"20.10.2019 21:00";"16.8";"754.2";"765.3";"";"57";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"";"17.8";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"8.1";"Осадков нет";"12";"";"";"";"";
"20.10.2019 18:00";"17.1";"754.2";"765.2";"";"60";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"9.2";"Осадков нет";"12";"";"";"";"";
"20.10.2019 15:00";"17.3";"754.2";"765.3";"";"61";"Ветер, дующий с западо-северо-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"9.6";"";"";"";"";"";"";
"20.10.2019 12:00";"15.0";"754.5";"765.7";"";"68";"Ветер, дующий с западо-северо-запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"9.2";"";"";"";"";"";"";
"20.10.2019 09:00";"13.7";"754.2";"765.4";"";"71";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"12.8";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"8.5";"Осадков нет";"12";"Поверхность почвы влажная.";"9.0";"";"";
"20.10.2019 06:00";"13.2";"753.9";"765.1";"";"70";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"13.2";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"10.0";"7.8";"Осадков нет";"12";"";"";"";"";
"20.10.2019 03:00";"14.0";"753.8";"765.0";"";"68";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"8.1";"";"";"";"";"";"";
"20.10.2019 00:00";"14.7";"753.7";"764.9";"";"66";"Ветер, дующий с юга";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"8.3";"";"";"";"";"";"";
"19.10.2019 21:00";"14.3";"754.0";"765.1";"";"67";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";" ";"";"";"";"16.7";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"8.1";"Осадков нет";"12";"";"";"";"";
"19.10.2019 18:00";"15.2";"754.1";"765.2";"";"59";"Ветер, дующий с юго-востока";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"7.2";"";"";"";"";"";"";
"19.10.2019 15:00";"16.4";"754.1";"765.2";"";"55";"Ветер, дующий с юго-востока";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"10.0";"7.3";"";"";"";"";"";"";
"19.10.2019 12:00";"15.6";"754.6";"765.7";"";"58";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"7.4";"";"";"";"";"";"";
"19.10.2019 09:00";"13.3";"754.5";"765.7";"";"75";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"11.2";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"9.0";"Осадков нет";"12";"Поверхность почвы влажная.";"8.0";"";"";
"19.10.2019 06:00";"11.8";"754.0";"765.3";"";"82";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"11.2";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"8.8";"Осадков нет";"12";"";"";"";"";
"19.10.2019 03:00";"11.3";"753.7";"764.9";"";"86";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"9.0";"";"";"";"";"";"";
"19.10.2019 00:00";"11.9";"753.1";"764.3";"";"85";"Ветер, дующий с запада";"1";"";"";"20–30%.";" ";"";"";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"20–30%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"9.5";"";"";"";"";"";"";
"18.10.2019 21:00";"13.1";"752.6";"763.9";"";"82";"Ветер, дующий с западо-северо-запада";"2";"";"";"100%.";" ";"";"";"";"15.2";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"10.0";"Осадков нет";"12";"";"";"";"";
"18.10.2019 18:00";"13.6";"752.0";"763.2";"";"81";"Ветер, дующий с западо-северо-запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"10.3";"Осадков нет";"12";"";"";"";"";
"18.10.2019 15:00";"15.0";"751.3";"762.4";"";"63";"Ветер, дующий с запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"7.9";"";"";"";"";"";"";
"18.10.2019 12:00";"14.1";"751.0";"762.2";"";"68";"Ветер, дующий с западо-северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"8.3";"";"";"";"";"";"";
"18.10.2019 09:00";"13.1";"750.3";"761.5";"";"79";"Ветер, дующий с западо-северо-запада";"1";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"12.7";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"9.6";"Следы осадков";"12";"Поверхность почвы влажная.";"11.0";"";"";
"18.10.2019 06:00";"12.8";"749.3";"760.5";"";"82";"Ветер, дующий с запада";"1";"";"";"60%.";"Ливневый(ые) дождь(и). ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"12.8";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"9.8";"Следы осадков";"12";"";"";"";"";
"18.10.2019 03:00";"13.0";"749.0";"760.1";"";"79";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"9.5";"";"";"";"";"";"";
"18.10.2019 00:00";"15.1";"748.3";"759.4";"";"59";"Ветер, дующий с запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"7.2";"";"";"";"";"";"";
"17.10.2019 21:00";"16.8";"748.4";"759.4";"";"53";"Ветер, дующий с запада";"1";"";"";"70 – 80%.";" ";"";"";"";"18.9";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"7.1";"Осадков нет";"12";"";"";"";"";
"17.10.2019 18:00";"17.7";"748.6";"759.6";"";"47";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"6.2";"Осадков нет";"12";"";"";"";"";
"17.10.2019 15:00";"18.7";"749.2";"760.1";"";"48";"Ветер, дующий с юга";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"10.0";"7.4";"";"";"";"";"";"";
"17.10.2019 12:00";"15.4";"750.4";"761.5";"";"63";"Ветер, дующий с юга";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"8.3";"";"";"";"";"";"";
"17.10.2019 09:00";"11.8";"750.8";"762.1";"";"77";"Ветер, дующий с запада";"1";"";"";"Облаков нет.";" ";"";"";"8.3";"";"";"";"";"";"";"10.0";"7.9";"Осадков нет";"12";"Поверхность почвы влажная.";"4.0";"";"";
"17.10.2019 06:00";"9.3";"751.3";"762.7";"";"83";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"8.3";"";"";"";"";"";"";"10.0";"6.6";"Осадков нет";"12";"";"";"";"";
"17.10.2019 03:00";"9.5";"752.4";"763.7";"";"79";"Ветер, дующий с юго-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"6.0";"";"";"";"";"";"";
"17.10.2019 00:00";"8.4";"753.5";"764.9";"";"75";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"4.1";"";"";"";"";"";"";
"16.10.2019 21:00";"8.5";"754.4";"765.8";"";"68";"Ветер, дующий с юго-юго-востока";"1";"";"";"70 – 80%.";" ";"";"";"";"8.8";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"2.8";"Осадков нет";"12";"";"";"";"";
"16.10.2019 18:00";"8.6";"755.7";"767.2";"";"64";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"2.0";"Осадков нет";"12";"";"";"";"";
"16.10.2019 15:00";"8.4";"757.6";"769.2";"";"60";"Ветер, дующий с юго-востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"0.9";"";"";"";"";"";"";
"16.10.2019 12:00";"6.3";"759.6";"771.1";"";"62";"Ветер, дующий с юго-востока";"1";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-0.6";"";"";"";"";"";"";
"16.10.2019 09:00";"3.6";"760.1";"771.9";"";"74";"Ветер, дующий с востоко-юго-востока";"1";"";"";"100%.";" ";"";"";"2.2";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые башенкообразные или хлопьевидные.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-0.6";"Осадков нет";"12";"Поверхность почвы влажная.";"0.0";"";"";
"16.10.2019 06:00";"2.4";"760.3";"772.0";"";"72";"Ветер, дующий с востока";"1";"";"";"40%.";" ";"";"";"2.4";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-2.2";"Осадков нет";"12";"";"";"";"";
"16.10.2019 03:00";"2.9";"759.3";"771.1";"";"65";"Ветер, дующий с востока";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-3.1";"";"";"";"";"";"";
"16.10.2019 00:00";"4.6";"759.0";"770.6";"";"64";"Ветер, дующий с востока";"1";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-1.7";"";"";"";"";"";"";
"15.10.2019 21:00";"5.1";"758.4";"770.0";"";"66";"Ветер, дующий с севера";"2";"";"";"100%.";" ";"";"";"";"11.9";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"-0.7";"Осадков нет";"12";"";"";"";"";
"15.10.2019 18:00";"6.8";"757.0";"768.6";"";"66";"Ветер, дующий с северо-северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"0.8";"Осадков нет";"12";"";"";"";"";
"15.10.2019 15:00";"7.3";"755.5";"767.0";"";"71";"Ветер, дующий с северо-северо-востока";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"2.3";"";"";"";"";"";"";
