# Метеостанция Москва (ВДНХ), Россия, WMO_ID=27612, выборка с 01.04.2019 по 08.12.2019, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=27612&lang=ru
#
"Местное время в Москве (ВДНХ)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"06.10.2019 09:00";"2.1";"744.1";"758.8";"-0.6";"92";"Ветер, дующий с севера";"3";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Ливень (ливни).";"Дождь.";"2.1";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"0.9";"1.0";"12";"Поверхность почвы сырая (вода застаивается на поверхности и образует малые или большие лужи).";"4.0";"";"";
"06.10.2019 06:00";"4.2";"744.7";"759.2";"-0.7";"85";"Ветер, дующий с северо-северо-востока";"3";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"4.0";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"";"1.8";"Осадков нет";"12";"";"";"";"";
"06.10.2019 03:00";"4.5";"745.4";"760.0";"-1.2";"86";"Ветер, дующий с севера";"3";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"";"2.3";"";"";"";"";"";"";
"06.10.2019 00:00";"5.4";"746.6";"761.2";"-0.1";"86";"Ветер, дующий с севера";"3";"";"";"90  или более, но не 100%";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"3.3";"";"";"";"";"";"";
"05.10.2019 21:00";"7.1";"746.7";"761.2";"0.9";"80";"Ветер, дующий с северо-северо-востока";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"10.6";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"";"3.8";"Осадков нет";"12";"";"";"";"";
"05.10.2019 18:00";"8.7";"745.8";"760.1";"0.8";"67";"Ветер, дующий с севера";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"2.9";"Осадков нет";"12";"";"";"";"";
"05.10.2019 15:00";"9.8";"745.0";"759.3";"0.9";"59";"Ветер, дующий с северо-северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"100%.";"600-1000";"";"";"10.0";"2.2";"";"";"";"";"";"";
"05.10.2019 12:00";"9.5";"744.1";"758.3";"0.6";"70";"Ветер, дующий с северо-запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"4.2";"";"";"";"";"";"";
"05.10.2019 09:00";"7.6";"743.5";"757.9";"0.7";"76";"Штиль, безветрие";"0";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"3.3";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"3.5";"Осадков нет";"12";"Поверхность почвы влажная.";"4.0";"";"";
"05.10.2019 06:00";"3.9";"742.8";"757.3";"0.2";"95";"Штиль, безветрие";"0";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"3.3";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"";"3.2";"Осадков нет";"12";"";"";"";"";
"05.10.2019 03:00";"5.9";"742.6";"757.1";"-0.3";"78";"Ветер, дующий с северо-северо-востока";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"2.3";"";"";"";"";"";"";
"05.10.2019 00:00";"6.3";"742.9";"757.4";"0.0";"78";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"2.7";"";"";"";"";"";"";
"04.10.2019 21:00";"8.2";"742.9";"757.3";"0.5";"72";"Ветер, дующий с северо-запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"13.3";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"3.3";"3.0";"12";"";"";"";"";
"04.10.2019 18:00";"9.2";"742.4";"756.7";"1.1";"72";"Ветер, дующий с северо-запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"4.3";"4.0";"12";"";"";"";"";
"04.10.2019 15:00";"10.1";"741.3";"755.5";"1.5";"79";"Ветер, дующий с западо-северо-запада";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"6.6";"";"";"";"";"";"";
"04.10.2019 12:00";"9.6";"739.8";"754.0";"2.4";"92";"Ветер, дующий с северо-запада";"1";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"100%.";"600-1000";"";"";"4.0";"8.4";"";"";"";"";"";"";
"04.10.2019 09:00";"13.2";"737.4";"751.3";"0.0";"90";"Ветер, дующий с юга";"1";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"13.2";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"4.0";"11.5";"1.0";"12";"Поверхность почвы влажная.";"10.0";"";"";
"04.10.2019 06:00";"14.1";"737.4";"751.3";"-1.1";"76";"Ветер, дующий с юго-юго-востока";"1";"";"";"60%.";" ";"";"";"13.9";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"9.9";"Осадков нет";"12";"";"";"";"";
"04.10.2019 03:00";"15.0";"738.5";"752.4";"-1.1";"70";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"";"9.5";"";"";"";"";"";"";
"04.10.2019 00:00";"15.4";"739.6";"753.4";"-0.9";"63";"Ветер, дующий с юго-юго-востока";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"";"8.4";"";"";"";"";"";"";
"03.10.2019 21:00";"16.3";"740.5";"754.3";"-0.6";"61";"Ветер, дующий с юго-юго-востока";"1";"";"";"70 – 80%.";" ";"";"";"";"21.1";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"";"8.6";"Осадков нет";"12";"";"";"";"";
"03.10.2019 18:00";"18.2";"741.1";"754.9";"-0.3";"54";"Ветер, дующий с юго-юго-востока";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"8.7";"Осадков нет";"12";"";"";"";"";
"03.10.2019 15:00";"20.9";"741.4";"755.1";"-0.7";"44";"Ветер, дующий с юга";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"8.2";"";"";"";"";"";"";
"03.10.2019 12:00";"17.6";"742.1";"755.9";"-0.1";"57";"Ветер, дующий с юго-юго-востока";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"8.9";"";"";"";"";"";"";
"03.10.2019 09:00";"14.8";"742.2";"756.1";"0.2";"67";"Ветер, дующий с юга";"1";"";"";"70 – 80%.";" ";"";"";"11.2";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"8.7";"0.3";"12";"Поверхность почвы влажная.";"9.0";"";"";
"03.10.2019 06:00";"12.0";"742.0";"756.1";"-0.5";"84";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";" ";"";"";"11.6";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"";"9.4";"0.3";"12";"";"";"";"";
"03.10.2019 03:00";"13.1";"742.5";"756.6";"0.4";"82";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"";"10.1";"";"";"";"";"";"";
"03.10.2019 00:00";"15.0";"742.1";"756.1";"0.9";"74";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"";"10.3";"";"";"";"";"";"";
"02.10.2019 21:00";"15.5";"741.2";"755.2";"0.7";"70";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"";"15.9";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"";"10.1";"Осадков нет";"12";"";"";"";"";
"02.10.2019 18:00";"15.5";"740.5";"754.4";"0.7";"67";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"9.3";"Осадков нет";"12";"";"";"";"";
"02.10.2019 15:00";"14.7";"739.8";"753.7";"0.4";"67";"Ветер, дующий с юга";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"8.5";"";"";"";"";"";"";
"02.10.2019 12:00";"12.9";"739.4";"753.4";"-0.6";"69";"Ветер, дующий с юга";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"7.3";"";"";"";"";"";"";
"02.10.2019 09:00";"10.3";"740.0";"754.2";"-0.4";"72";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";" ";"";"";"5.9";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"1000-1500";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"5.5";"Осадков нет";"12";"Поверхность почвы влажная.";"4.0";"";"";
"02.10.2019 06:00";"8.5";"740.4";"754.6";"-0.2";"78";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";" ";"";"";"5.9";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба.";"";"4.9";"Осадков нет";"12";"";"";"";"";
"02.10.2019 03:00";"6.2";"740.6";"755.0";"1.2";"87";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";"Дымка. ";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"";"4.1";"";"";"";"";"";"";
"02.10.2019 00:00";"6.5";"739.4";"753.8";"1.7";"92";"Штиль, безветрие";"0";"";"";"40%.";"Дымка. ";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"";"5.2";"";"";"";"";"";"";
"01.10.2019 21:00";"9.5";"737.7";"751.9";"3.1";"79";"Ветер, дующий с западо-северо-запада";"1";"";"";"Облаков нет.";"Облака в целом рассеиваются или становятся менее развитыми. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"16.5";"";"";"";"";"";"";"6.0";"2.0";"12";"";"";"";"";
"01.10.2019 18:00";"11.8";"734.6";"748.6";"3.0";"89";"Ветер, дующий с западо-северо-запада";"1";"";"";"70 – 80%.";"Ливневый(ые) дождь(и). ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"4.0";"10.1";"3.0";"12";"";"";"";"";
"01.10.2019 15:00";"15.1";"731.6";"745.3";"0.8";"85";"Ветер, дующий с западо-юго-запада";"1";"";"";"100%.";"Ливневый(ые) дождь(и). ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"10.0";"12.6";"";"";"";"";"";"";
"01.10.2019 12:00";"16.0";"730.8";"744.5";"0.2";"81";"Ветер, дующий с юга";"1";"";"";"90  или более, но не 100%";"Ливневый(ые) дождь(и). ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"12.7";"";"";"";"";"";"";
"01.10.2019 09:00";"14.3";"730.6";"744.3";"0.0";"87";"Ветер, дующий с юго-юго-запада";"1";"";"";"100%.";"Дымка. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"12.5";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"4.0";"12.2";"1.0";"12";"Поверхность почвы сырая (вода застаивается на поверхности и образует малые или большие лужи).";"12.0";"";"";
"01.10.2019 06:00";"13.8";"730.6";"744.4";"-0.9";"91";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";"Дождь незамерзающий непрерывный умеренный в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"12.4";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"";"12.4";"3.0";"12";"";"";"";"";
"01.10.2019 03:00";"13.9";"731.5";"745.3";"-1.6";"88";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";"Дымка. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"";"12.0";"";"";"";"";"";"";
"01.10.2019 00:00";"13.3";"733.1";"747.0";"-1.2";"90";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";"Дымка. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"";"11.6";"";"";"";"";"";"";
"30.09.2019 21:00";"12.5";"734.3";"748.3";"-1.0";"92";"Ветер, дующий с юга";"1";"";"";"100%.";"Дождь незамерзающий непрерывный умеренный в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"14.1";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"";"11.3";"3.0";"12";"";"";"";"";
"30.09.2019 18:00";"13.3";"735.3";"749.2";"-1.6";"85";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"4.0";"10.8";"0.3";"12";"";"";"";"";
"30.09.2019 15:00";"14.0";"736.9";"750.7";"-1.1";"81";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"4.0";"10.7";"";"";"";"";"";"";
"30.09.2019 12:00";"12.9";"738.0";"751.9";"-0.4";"83";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"10.0";"10.1";"";"";"";"";"";"";
"30.09.2019 09:00";"10.9";"738.4";"752.5";"-0.3";"92";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"9.3";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"4.0";"9.6";"0.5";"12";"Поверхность почвы влажная.";"9.0";"";"";
"30.09.2019 06:00";"9.9";"738.7";"752.8";"-0.6";"94";"Штиль, безветрие";"0";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"9.3";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"200-300";"";"";"";"9.0";"2.0";"12";"";"";"";"";
"30.09.2019 03:00";"9.4";"739.3";"753.5";"-0.9";"95";"Штиль, безветрие";"0";"";"";"100%.";"Дымка. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"";"";"";"8.6";"";"";"";"";"";"";
"30.09.2019 00:00";"9.3";"740.2";"754.4";"-1.0";"95";"Штиль, безветрие";"0";"";"";"100%.";"Ливневый(ые) дождь(и). ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"300-600";"";"";"";"8.6";"";"";"";"";"";"";
"29.09.2019 21:00";"9.3";"741.2";"755.5";"-0.9";"95";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";"Ливневый(ые) дождь(и) умеренный(ые) или сильный(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"11.0";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"300-600";"";"";"";"8.5";"3.0";"12";"";"";"";"";
"29.09.2019 18:00";"9.2";"742.1";"756.4";"-0.7";"93";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"300-600";"";"";"4.0";"8.1";"1.0";"12";"";"";"";"";
"29.09.2019 15:00";"8.8";"742.8";"757.0";"-0.7";"93";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"300-600";"";"";"4.0";"7.7";"";"";"";"";"";"";
"29.09.2019 12:00";"10.7";"743.5";"757.7";"-0.9";"69";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"600-1000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"4.0";"5.2";"";"";"";"";"";"";
"29.09.2019 09:00";"9.1";"744.4";"758.7";"-1.2";"75";"Ветер, дующий с юго-юго-востока";"2";"";"";"90  или более, но не 100%";" ";"";"";"8.1";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"4.9";"Осадков нет";"12";"Поверхность почвы влажная.";"7.0";"";"";
"29.09.2019 06:00";"8.4";"745.6";"760.0";"-1.5";"79";"Ветер, дующий с юго-востока";"1";"";"";"100%.";" ";"";"";"8.2";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"";"4.9";"Осадков нет";"12";"";"";"";"";
"29.09.2019 03:00";"8.4";"747.1";"761.5";"-1.0";"77";"Ветер, дующий с юго-востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"";"4.6";"";"";"";"";"";"";
"29.09.2019 00:00";"8.6";"748.1";"762.5";"-0.6";"77";"Ветер, дующий с юго-востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"";"4.7";"";"";"";"";"";"";
